sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-b92c28,Heavy-Duty Wood Pallet,A sturdy wooden pallet designed to safely transport and store heavy goods.,Piece,True,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Pallets & Crates
PROD-3c0eb6,Precision Machined Aluminum Bracket,Durable aluminum bracket designed to withstand high loads and provide structural integrity.,KG,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-0627c3,EcoShield UV Protection Coating,A durable coating that provides superior protection against harmful UV rays while enhancing the aesthetic appeal of your surfaces.,KG,False,Direct Materials,Raw Materials,Chemicals,"Coatings, Pigments & Dyes"
PROD-5507a4,PolyClean Solvent,A versatile solvent ideal for cleaning electronic components and removing adhesives.,Piece,False,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-6b232f,Industrial Sulfuric Acid,High-purity sulfuric acid suitable for industrial applications requiring strong corrosive properties.,Set,False,Direct Materials,Raw Materials,Chemicals,Bulk & Specialty Chemicals
PROD-6b6de7,Polyester Resin X,High-quality polyester resin ideal for industrial applications and durable packaging solutions.,KG,False,Direct Materials,Raw Materials,Plastics & Polymers,"Resins (PET, HDPE)"
PROD-41272e,Industrial Grade Hydrochloric Acid,A high-purity hydrochloric acid suitable for industrial applications requiring precise chemical reactions.,Box,False,Direct Materials,Raw Materials,Chemicals,Bulk & Specialty Chemicals
PROD-a33bc8,Eternal Gold Bar,"A premium, investment-grade gold bar crafted from 99.9% pure gold, perfect for collectors and investors.",Box,True,Direct Materials,Raw Materials,Metals & Minerals,"Precious Metals (Gold, Silver)"
PROD-0da4f0,Heavy-Duty Hex Bolt,A robust hexagonal bolt designed to withstand high torque and heavy loads in industrial applications.,Set,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,"Fasteners (Nuts, Bolts, Screws)"
PROD-78e971,Aluminum Alloy Casting,High-quality aluminum alloy casting perfect for intricate parts and components requiring precision.,Set,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Castings & Forgings
PROD-b56381,Quinoa Harvest,Organic quinoa harvested at peak freshness for a nutritious and versatile addition to your meals.,Piece,False,Direct Materials,Raw Materials,Agricultural Products,Grains & Cereals
PROD-a3db61,Clear Acrylic Sheet,Premium quality injection molded acrylic sheets available in various thicknesses and sizes.,Piece,False,Direct Materials,Raw Materials,Plastics & Polymers,Injection Molded Plastics
PROD-df90fc,Premium Grade Anhydrous Hydrogen Peroxide,High-purity hydrogen peroxide suitable for laboratory research and industrial applications.,KG,False,Direct Materials,Raw Materials,Chemicals,Bulk & Specialty Chemicals
PROD-41a7b8,Precision Metal Film Resistor,A high-accuracy resistor ideal for precision analog circuits.,Piece,True,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-295508,ProMax Electric Motor,A high-performance electric motor designed for precision and efficiency in various industrial applications.,KG,True,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Motors & Pumps
PROD-b675ac,Heavy-Duty Threaded Rod,A robust threaded rod perfect for industrial applications requiring high strength and durability.,Piece,True,Direct Materials,Components & Sub-Assemblies,Mechanical Components,"Fasteners (Nuts, Bolts, Screws)"
